rank,landkreis_id,landkreis_name,ags,roof_area_m2,sun_hours_mean,sun_percentile,score,lat,lon,maps_url,earth_url
1,09161,Ingolstadt (Stadt),9161000,161973.65710005054,1872.2049560546875,11.947813987731934,303247883.5730171,48.785533,11.41509,"https://maps.google.com/?q=48.785533,11.41509","https://earth.google.com/web/@48.785533,11.41509,500a,35y,0h,0t,0r"
2,09171,Altötting,9171133,159336.5137000387,1865.8983154296875,7.953765392303467,297305732.4993415,48.214593,12.581987,"https://maps.google.com/?q=48.214593,12.581987","https://earth.google.com/web/@48.214593,12.581987,500a,35y,0h,0t,0r"
3,09183,Mühldorf a.Inn,9183136,155378.03945020738,1863.52490234375,7.244220733642578,289550845.79281104,48.233757,12.58601,"https://maps.google.com/?q=48.233757,12.58601","https://earth.google.com/web/@48.233757,12.58601,500a,35y,0h,0t,0r"
4,09171,Altötting,9171122,119905.65924996368,1888.7987060546875,31.099794387817383,226477654.03996566,48.098249,12.65182,"https://maps.google.com/?q=48.098249,12.65182","https://earth.google.com/web/@48.098249,12.65182,500a,35y,0h,0t,0r"
5,09161,Ingolstadt (Stadt),9161000,107126.85609988298,1872.3197021484375,12.096590042114258,200575723.30503142,48.782218,11.394461,"https://maps.google.com/?q=48.782218,11.394461","https://earth.google.com/web/@48.782218,11.394461,500a,35y,0h,0t,0r"
6,09171,Altötting,9171122,81283.00070002585,1887.992919921875,30.395971298217773,153461729.83165362,48.102738,12.653158,"https://maps.google.com/?q=48.102738,12.653158","https://earth.google.com/web/@48.102738,12.653158,500a,35y,0h,0t,0r"
7,09162,München (Stadt),9162000,72148.5083999998,1971.8682861328125,95.50812530517578,142267355.60574645,48.215963,11.472911,"https://maps.google.com/?q=48.215963,11.472911","https://earth.google.com/web/@48.215963,11.472911,500a,35y,0h,0t,0r"
8,09176,Eichstätt,9176139,73596.76020000121,1869.5582275390625,9.887845993041992,137593428.55213168,48.794833,11.505585,"https://maps.google.com/?q=48.794833,11.505585","https://earth.google.com/web/@48.794833,11.505585,500a,35y,0h,0t,0r"
9,09171,Altötting,9171122,61087.70045006359,1888.7987060546875,31.099794387817383,115382369.56593646,48.098981,12.648606,"https://maps.google.com/?q=48.098981,12.648606","https://earth.google.com/web/@48.098981,12.648606,500a,35y,0h,0t,0r"
10,09183,Mühldorf a.Inn,9183123,55616.62180006271,1920.611083984375,61.541542053222656,106817900.28296746,48.167851,12.159792,"https://maps.google.com/?q=48.167851,12.159792","https://earth.google.com/web/@48.167851,12.159792,500a,35y,0h,0t,0r"
11,09162,München (Stadt),9162000,52831.98405001398,1977.2088623046875,96.95582580566406,104459867.07682754,48.177329,11.43367,"https://maps.google.com/?q=48.177329,11.43367","https://earth.google.com/web/@48.177329,11.43367,500a,35y,0h,0t,0r"
12,09189,Traunstein,9189154,53705.70914997283,1902.31396484375,41.445411682128906,102165120.50783007,47.952076,12.611623,"https://maps.google.com/?q=47.952076,12.611623","https://earth.google.com/web/@47.952076,12.611623,500a,35y,0h,0t,0r"
